nombre,grupo,tipo,estado,bcalbum,img,formato,lanzamiento,precio,btnppal
elcuerpohumano,incendios,disco,ok,3660433808,elcuerpohumano,Vinilo 12 '' + CD,Marzo 2013,12&euro;+3,3PD4B4QQ8X7CA
quelecortenlacabeza,atenciontsunami,disco,ok,2497391259,quelecortenlacabeza,Vinilo 12 '' + CD,6 de Mayo 2014,12&euro;+3,5CFXS8QPPESMC
quelecortenlacabez,atenciontsunami,disco,lanzamiento,,quelecortenlacabeza,Vinilo 12 '' + CD,6 de Mayo 2014,12&euro;+3,5CFXS8QPPESMC
ellejanooyente,atenciontsunami,disco,reedit,4042535803,ellejanooyente,CD,Enero 2009,10&euro;+2,2531852
camiseta01,,camiseta,ok,,camiseta01,,,12&euro;+2,2531852
